year,team,win_pct,fg3_pct,ts_pct,fta,ast,oefg_pct,otov_pct,mov
2011,BOS,0.561,0.362,0.544,22.3,22.3,0.468,14.0,2.6
2011,NJN,0.122,0.313,0.51,22.5,20.8,0.515,11.0,-9.3
2011,CHA,0.317,0.291,0.519,23.7,19.4,0.506,12.6,-7.3
2011,CHI,0.634,0.333,0.534,24.2,21.3,0.472,12.5,4.4
2011,CLE,0.171,0.333,0.517,25.3,19.9,0.54,12.3,-12.3
2011,DAL,0.683,0.365,0.557,22.3,23.6,0.491,11.7,2.2
2011,DEN,0.415,0.386,0.561,27.9,20.2,0.519,12.7,-1.1
2011,DET,0.22,0.358,0.514,22.0,19.6,0.526,13.1,-6.7
2011,GSW,0.244,0.381,0.53,20.6,20.2,0.51,13.1,-7.4
2011,HOU,0.439,0.386,0.557,25.3,24.1,0.513,12.2,-0.4
2011,IND,0.317,0.351,0.522,24.0,19.4,0.493,12.4,-5.6
2011,LAC,0.22,0.344,0.528,25.3,20.1,0.513,12.0,-7.4
2011,LAL,0.659,0.354,0.542,23.8,20.9,0.485,11.5,3.5
2011,MEM,0.39,0.336,0.514,24.4,20.5,0.5,14.6,-2.5
2011,MIA,0.683,0.387,0.572,26.0,21.0,0.477,12.1,5.8
2011,MIL,0.317,0.347,0.504,22.2,18.8,0.492,14.5,-3.8
2011,MIN,0.122,0.355,0.523,24.0,19.4,0.529,12.5,-10.0
2011,NOH,0.439,0.37,0.53,23.3,19.3,0.506,13.4,-1.8
2011,NYK,0.463,0.378,0.549,24.9,21.5,0.5,12.7,-0.4
2011,OKC,0.61,0.333,0.549,27.3,19.2,0.493,11.8,1.3
2011,ORL,0.561,0.378,0.554,24.6,19.5,0.495,11.9,1.9
2011,PHI,0.366,0.336,0.525,22.3,21.9,0.494,12.5,-2.1
2011,PHO,0.415,0.364,0.559,22.3,23.9,0.521,12.3,-2.6
2011,POR,0.439,0.356,0.525,21.5,21.0,0.518,14.3,-2.6
2011,SAC,0.317,0.345,0.522,24.2,21.2,0.518,12.4,-7.2
2011,SAS,0.61,0.371,0.549,23.8,20.7,0.499,11.5,1.5
2011,TOR,0.146,0.328,0.519,24.0,20.9,0.532,12.8,-10.0
2011,UTA,0.439,0.357,0.539,25.1,23.8,0.514,13.6,-4.4
2011,WAS,0.073,0.322,0.51,24.2,18.4,0.532,13.4,-12.7
2012,ATL,0.515,0.369,0.53,18.9,21.6,0.481,14.2,2.0
2012,BOS,0.455,0.376,0.538,20.3,23.4,0.474,13.5,-2.8
2012,NJN,0.394,0.36,0.515,21.4,19.9,0.503,13.7,-5.4
2012,CHA,0.091,0.308,0.488,19.9,19.5,0.522,12.6,-15.4
2012,CHI,0.727,0.395,0.532,20.2,22.6,0.453,12.3,8.3
2012,CLE,0.303,0.333,0.505,25.9,18.4,0.508,12.8,-7.4
2012,DAL,0.394,0.35,0.527,18.5,21.1,0.485,12.9,-2.6
2012,DEN,0.545,0.333,0.552,26.3,22.7,0.515,13.8,2.0
2012,DET,0.212,0.343,0.499,21.2,18.0,0.51,12.9,-9.0
2012,GSW,0.333,0.399,0.533,18.6,21.2,0.497,13.1,-4.7
2012,HOU,0.364,0.362,0.526,18.9,21.5,0.511,13.5,-4.3
2012,IND,0.576,0.387,0.522,25.6,18.7,0.482,13.0,0.3
2012,LAC,0.485,0.357,0.523,21.9,18.9,0.5,13.1,-0.1
2012,LAL,0.455,0.306,0.521,23.5,20.7,0.489,9.6,-3.2
2012,MEM,0.455,0.313,0.499,20.3,19.8,0.495,16.1,-2.5
2012,MIA,0.545,0.357,0.539,23.5,20.0,0.486,14.8,1.1
2012,MIL,0.424,0.325,0.514,22.5,22.3,0.481,14.3,0.1
2012,MIN,0.394,0.336,0.534,25.5,20.1,0.487,11.5,-2.2
